iter	RMSE
0	754272.1913
1	711927.5818
2	674822.0441
3	639446.5906
4	606509.0839
5	577105.4084
6	550769.2049
7	527405.3862
8	505669.8067
9	484283.2227
10	463698.8731
11	446497.6386
12	430468.0831
13	415083.6222
14	401264.4626
15	388297.6032
16	376468.0281
17	365799.9835
18	357021.4443
19	349231.2162
20	340663.6135
21	332019.6486
22	325543.9051
23	318384.3412
24	312424.9476
25	307264.7014
26	302178.5336
27	297218.0535
28	292581.7697
29	288506.4602
30	284356.8422
31	281515.6738
32	277990.6446
33	274567.0462
34	271256.9696
35	268689.9201
36	265363.211
37	262755.7691
38	260871.4574
39	259487.7676
40	257219.3805
41	255063.8601
42	254483.4389
43	252533.9425
44	250845.1409
45	248871.016
46	246455.1896
47	244024.7622
48	241978.5609
49	240153.8535
50	238707.399
51	236759.3434
52	235819.1114
53	235381.6928
54	233771.9016
55	232261.2584
56	231147.451
57	230178.0348
58	229326.202
59	227742.5596
60	226574.1777
61	224951.3843
62	223525.9999
63	222615.2284
64	221761.5327
65	220343.6762
66	219241.1989
67	217931.3054
68	216580.9657
69	215592.542
70	214397.6187
71	213558.9645
72	212563.992
73	211614.0539
74	210303.0128
75	209590.109
76	209109.3259
77	208371.0083
78	207482.5974
79	206975.9136
80	206390.6853
81	205454.9381
82	205007.4978
83	204282.7271
84	203701.959
85	203253.9581
86	202171.113
87	201595.9194
88	200919.5731
89	200131.6705
90	199337.9624
91	198830.9048
92	198234.2742
93	197769.013
94	197335.3007
95	196827.2955
96	195906.7425
97	195025.5155
98	194577.0765
99	193836.7866
100	193241.2257
101	192650.5366
102	191765.295
103	191238.8055
104	190597.9689
105	190040.1136
106	189673.2402
107	188993.5942
108	188561.598
109	188281.1848
110	187699.9947
111	187332.9115
112	186687.6828
113	186490.778
114	185995.8809
115	185129.2557
116	184191.3096
117	183693.168
118	183345.6646
119	183026.2264
120	182938.7854
121	182516.9302
122	181930.5794
123	181407.0843
124	180798.9202
125	180216.8193
126	180051.6511
127	179491.1366
128	178784.3375
129	178142.0898
130	177565.7066
131	177257.6046
132	176933.6937
133	176523.7072
134	176098.8091
135	176049.735
136	175976.5516
137	175626.209
138	175168.4774
139	174731.9601
140	174326.4133
141	173710.2949
142	173617.9939
143	173587.416
144	173235.1764
145	172826.0277
146	172712.7797
147	172442.6675
148	172122.1862
149	171570.0296
150	171541.3663
151	171029.6084
152	170911.9447
153	170536.0837
154	170076.0665
155	170040.5498
156	169630.0985
157	169319.7306
158	168966.3776
159	168662.8304
160	168637.8467
161	168535.9786
162	168272.5225
163	167750.6194
164	167354.2527
165	167043.676
166	166977.8769
167	166673.8588
168	166469.8667
169	166070.167
170	165743.2607
171	165273.2229
172	165108.2168
173	165087.1551
174	165032.7869
175	164729.5357
176	164372.1073
177	164074.4077
178	163836.945
179	163566.5728
180	163209.778
181	162970.5941
182	162455.1437
183	161998.4752
184	161931.7058
185	161658.0034
186	161290.6331
187	161236.6029
188	160767.8069
189	160588.4832
190	160235.0926
191	160037.1214
192	159989.308
193	159640.3351
194	159413.2958
195	159391.1263
196	159236.7175
197	158979.2384
198	158685.8007
199	158642.896
200	158581.7814
201	158566.3757
202	158330.7506
203	158166.7418
204	157759.382
205	157560.7977
206	157502.8242
207	157335.0635
208	157325.2181
209	157028.3509
210	156857.0961
211	156540.3063
212	156212.7791
213	156174.6793
214	156120.5891
215	155966.8239
216	155626.0161
217	155454.7453
218	154976.974
219	154967.7719
220	154786.0091
221	154752.1435
222	154451.7948
223	154203.0983
224	154181.2385
225	154041.464
226	153881.8738
227	153873.5334
228	153555.4567
229	153406.9118
230	153249.9278
231	153100.9744
232	152882.3762
233	152574.9626
234	152542.6792
235	152534.9752
236	152389.7457
237	152374.3386
238	152196.2931
239	152171.1328
240	151963.0858
241	151684.1749
242	151675.0937
243	151561.5849
244	151407.1634
245	151227.0801
246	151218.5318
247	151210.3485
248	151034.866
249	150916.3912
250	150905.0174
251	150612.6306
252	150328.0049
253	150163.048
254	149908.0195
255	149755.8806
256	149594.0386
257	149339.0301
258	149203.5824
259	149065.7647
260	148750.177
261	148520.3938
262	148418.9631
263	148214.685
264	148032.1432
265	147821.894
266	147711.8726
267	147493.3586
268	147214.1193
269	147081.515
270	146946.0802
271	146726.8024
272	146496.9118
273	146360.2689
274	146266.6719
275	146059.8703
