iter	Passed	Remaining
0	11	11702
1	20	10429
2	30	10105
3	38	9569
4	46	9203
5	54	9007
6	62	8887
7	70	8684
8	77	8555
9	85	8424
10	95	8587
11	122	10091
12	148	11258
13	174	12282
14	189	12413
15	199	12270
16	209	12104
17	218	11906
18	226	11700
19	234	11514
20	243	11329
21	250	11156
22	259	11004
23	266	10856
24	274	10697
25	281	10543
26	288	10390
27	295	10259
28	319	10688
29	343	11117
30	368	11517
31	388	11765
32	400	11736
33	411	11686
34	419	11565
35	427	11446
36	435	11332
37	443	11217
38	450	11105
39	458	10996
40	465	10889
41	473	10793
42	480	10683
43	487	10581
44	494	10487
45	501	10402
46	518	10509
47	551	10929
48	576	11191
49	600	11407
50	613	11421
51	626	11417
52	635	11354
53	644	11285
54	653	11233
55	662	11160
56	669	11077
57	678	11016
58	686	10942
59	694	10875
60	701	10798
61	710	10742
62	717	10669
63	724	10596
64	731	10524
65	739	10464
66	752	10480
67	776	10642
68	799	10789
69	824	10956
70	839	10978
71	850	10965
72	862	10956
73	872	10912
74	882	10881
75	890	10831
76	898	10774
77	907	10723
78	916	10681
79	923	10619
80	930	10561
81	937	10500
82	945	10444
83	952	10386
84	961	10350
85	969	10304
86	977	10263
87	990	10267
88	1005	10296
89	1018	10298
90	1030	10294
91	1043	10296
92	1056	10299
93	1067	10292
94	1076	10252
95	1085	10222
96	1094	10191
97	1103	10159
98	1112	10128
99	1121	10095
100	1141	10158
101	1163	10242
102	1191	10379
103	1215	10471
104	1232	10504
105	1242	10477
106	1250	10435
107	1258	10394
108	1266	10354
109	1274	10312
110	1282	10271
111	1290	10229
112	1297	10183
113	1304	10136
114	1311	10092
115	1319	10053
116	1326	10008
117	1341	10024
118	1367	10121
119	1389	10191
120	1412	10262
121	1429	10287
122	1440	10272
123	1450	10247
124	1459	10216
125	1467	10177
126	1474	10139
127	1482	10102
128	1491	10068
129	1498	10029
130	1506	9992
131	1513	9954
132	1522	9924
133	1530	9893
134	1538	9857
135	1560	9911
136	1583	9974
137	1609	10051
138	1631	10108
139	1644	10104
140	1658	10106
141	1667	10075
142	1675	10041
143	1683	10006
144	1691	9974
145	1699	9943
146	1707	9910
147	1715	9876
148	1723	9842
149	1730	9808
150	1737	9770
151	1747	9748
152	1770	9801
153	1793	9852
154	1818	9913
155	1837	9943
156	1850	9933
157	1860	9913
158	1868	9883
159	1878	9860
160	1885	9825
161	1893	9794
162	1901	9763
163	1909	9732
164	1916	9699
165	1924	9667
166	1930	9630
167	1937	9597
168	1946	9570
169	1955	9547
170	1970	9551
171	1985	9560
172	2000	9564
173	2014	9564
174	2028	9564
175	2044	9573
176	2055	9557
177	2065	9537
178	2073	9510
179	2081	9482
180	2089	9454
181	2097	9426
182	2122	9475
183	2148	9526
184	2171	9564
185	2194	9604
186	2205	9590
187	2214	9565
188	2223	9542
189	2232	9515
190	2240	9490
191	2248	9464
192	2256	9433
193	2263	9406
194	2271	9376
195	2278	9346
196	2285	9317
197	2293	9288
198	2300	9257
199	2309	9237
200	2331	9269
201	2353	9295
202	2380	9344
203	2400	9365
204	2411	9352
205	2422	9335
206	2429	9308
207	2439	9287
208	2446	9259
209	2455	9238
210	2462	9209
211	2470	9184
212	2478	9157
213	2485	9130
214	2493	9103
215	2500	9077
216	2508	9052
217	2523	9052
218	2548	9090
219	2571	9115
220	2598	9160
221	2613	9157
222	2628	9157
223	2639	9142
224	2647	9120
225	2657	9101
226	2668	9088
227	2676	9063
228	2684	9038
229	2693	9016
230	2702	8996
231	2710	8972
232	2718	8949
233	2726	8924
234	2733	8898
235	2740	8870
236	2747	8845
237	2757	8828
238	2770	8821
239	2785	8819
240	2807	8842
241	2833	8876
242	2850	8879
243	2864	8874
244	2875	8860
245	2884	8841
246	2893	8821
247	2902	8799
248	2909	8776
249	2918	8756
250	2926	8733
251	2934	8709
252	2942	8689
253	2950	8666
254	2959	8645
255	2972	8637
256	2983	8626
257	2996	8617
258	3008	8606
259	3020	8597
260	3032	8587
261	3046	8581
262	3056	8564
263	3065	8545
264	3074	8526
265	3082	8507
266	3091	8486
267	3098	8464
268	3107	8443
269	3133	8472
270	3156	8492
271	3181	8513
272	3203	8530
273	3217	8525
274	3228	8511
275	3238	8494
276	3249	8482
277	3257	8460
278	3265	8439
279	3274	8419
280	3281	8397
281	3289	8375
282	3297	8353
283	3304	8330
284	3312	8309
285	3320	8288
286	3327	8265
287	3333	8241
288	3341	8219
289	3355	8214
290	3377	8228
291	3403	8252
292	3425	8264
293	3440	8262
294	3451	8248
295	3460	8231
296	3468	8210
297	3476	8190
298	3484	8170
299	3494	8153
300	3502	8132
301	3510	8113
302	3517	8090
303	3524	8069
304	3532	8049
305	3539	8027
306	3546	8006
307	3566	8013
308	3590	8029
309	3616	8049
310	3641	8067
311	3657	8064
312	3669	8054
313	3678	8037
314	3687	8019
315	3697	8003
316	3706	7986
317	3715	7967
318	3723	7949
319	3731	7929
320	3738	7908
321	3747	7889
322	3755	7871
323	3763	7852
324	3771	7832
325	3778	7811
326	3785	7791
327	3808	7801
328	3831	7815
329	3856	7830
330	3878	7839
331	3890	7827
332	3900	7812
333	3909	7795
334	3918	7777
335	3927	7761
336	3936	7744
337	3944	7725
338	3951	7705
339	3959	7686
340	3970	7673
341	3983	7663
342	3996	7655
343	4008	7643
344	4020	7632
345	4033	7624
346	4046	7615
347	4058	7604
348	4067	7586
349	4074	7567
350	4082	7548
351	4090	7529
352	4097	7510
353	4105	7492
354	4115	7476
355	4141	7492
356	4167	7506
357	4192	7519
358	4209	7516
359	4223	7509
360	4235	7497
361	4244	7480
362	4254	7466
363	4263	7450
364	4271	7431
365	4279	7413
366	4287	7395
367	4295	7377
368	4303	7359
369	4311	7341
370	4318	7322
371	4326	7303
372	4333	7284
373	4340	7265
374	4348	7247
375	4370	7252
376	4395	7263
377	4417	7268
378	4440	7276
379	4452	7265
380	4463	7252
381	4471	7233
382	4480	7217
383	4489	7201
384	4498	7185
385	4505	7167
386	4513	7149
387	4521	7132
388	4530	7115
389	4537	7097
390	4544	7079
391	4552	7060
392	4562	7046
393	4579	7044
394	4602	7050
395	4628	7060
396	4650	7063
397	4662	7052
398	4674	7041
399	4683	7025
400	4693	7011
401	4703	6997
402	4713	6981
403	4721	6965
404	4730	6949
405	4738	6932
406	4747	6916
407	4754	6898
408	4761	6880
409	4769	6863
410	4777	6846
411	4785	6829
412	4794	6814
413	4821	6824
414	4845	6829
415	4870	6836
416	4889	6835
417	4902	6825
418	4913	6812
419	4922	6798
420	4931	6782
421	4940	6766
422	4954	6757
423	4970	6751
424	4987	6747
425	5003	6742
426	5020	6736
427	5034	6728
428	5044	6714
429	5053	6698
430	5062	6682
431	5070	6666
432	5078	6650
433	5086	6633
434	5093	6615
435	5102	6600
436	5110	6583
437	5118	6566
438	5140	6569
439	5168	6578
440	5194	6583
441	5214	6582
442	5225	6569
443	5234	6555
444	5242	6538
445	5251	6523
446	5259	6506
447	5267	6490
448	5275	6473
449	5282	6456
450	5291	6440
451	5298	6424
452	5306	6407
453	5314	6390
454	5321	6374
455	5334	6363
456	5359	6367
457	5383	6370
458	5409	6376
459	5427	6371
460	5445	6366
461	5457	6354
462	5470	6344
463	5480	6330
464	5488	6315
465	5497	6299
466	5505	6284
467	5513	6267
468	5521	6251
469	5528	6234
470	5536	6218
471	5543	6201
472	5551	6184
473	5558	6168
474	5571	6158
475	5596	6160
476	5619	6161
477	5646	6166
478	5661	6158
479	5673	6145
480	5682	6131
481	5690	6115
482	5699	6100
483	5707	6084
484	5715	6069
485	5723	6053
486	5731	6037
487	5739	6021
488	5747	6005
489	5754	5989
490	5762	5973
491	5770	5958
492	5794	5958
493	5820	5961
494	5843	5962
495	5863	5958
496	5875	5945
497	5886	5933
498	5894	5917
499	5903	5903
500	5911	5888
501	5921	5874
502	5929	5858
503	5937	5842
504	5944	5826
505	5953	5812
506	5969	5804
507	5985	5797
508	6001	5789
509	6018	5782
510	6036	5776
511	6047	5763
512	6057	5750
513	6066	5735
514	6074	5721
515	6082	5705
516	6090	5689
517	6098	5674
518	6105	5658
519	6112	5642
520	6120	5627
521	6132	5616
522	6156	5615
523	6181	5615
524	6216	5624
525	6231	5615
526	6241	5601
527	6250	5587
528	6259	5573
529	6268	5558
530	6276	5543
531	6285	5528
532	6292	5513
533	6301	5498
534	6308	5482
535	6315	5466
536	6322	5450
537	6329	5434
538	6342	5424
539	6368	5424
540	6392	5423
541	6416	5421
542	6434	5415
543	6448	5405
544	6461	5394
545	6470	5380
546	6480	5366
547	6489	5352
548	6498	5338
549	6506	5323
550	6514	5308
551	6522	5293
552	6529	5278
553	6539	5264
554	6547	5249
555	6555	5234
556	6562	5219
557	6570	5204
558	6595	5203
559	6621	5202
560	6647	5201
561	6665	5194
562	6679	5184
563	6692	5173
564	6702	5160
565	6712	5146
566	6721	5132
567	6730	5119
568	6739	5104
569	6747	5090
570	6755	5075
571	6763	5060
572	6769	5045
573	6778	5030
574	6785	5015
575	6792	4999
576	6800	4985
577	6810	4972
578	6838	4972
579	6862	4969
580	6888	4968
581	6906	4960
582	6916	4947
583	6927	4934
584	6935	4920
585	6943	4905
586	6950	4890
587	6967	4881
588	6992	4879
589	7017	4876
590	7045	4875
591	7058	4864
592	7068	4851
593	7077	4837
594	7087	4824
595	7096	4810
596	7105	4796
597	7113	4782
598	7121	4767
599	7128	4752
600	7136	4737
601	7144	4723
602	7151	4708
603	7159	4693
604	7178	4686
605	7204	4684
606	7231	4681
607	7256	4678
608	7267	4665
609	7278	4653
610	7286	4639
611	7296	4625
612	7304	4611
613	7312	4596
614	7320	4582
615	7328	4568
616	7335	4553
617	7343	4539
618	7350	4524
619	7357	4509
620	7365	4495
621	7380	4484
622	7408	4482
623	7431	4477
624	7459	4475
625	7474	4465
626	7484	4452
627	7493	4438
628	7501	4424
629	7509	4410
630	7518	4396
631	7526	4382
632	7535	4368
633	7542	4354
634	7550	4340
635	7557	4325
636	7565	4311
637	7573	4297
638	7590	4288
639	7615	4283
640	7641	4279
641	7664	4274
642	7677	4262
643	7687	4249
644	7697	4236
645	7705	4222
646	7714	4208
647	7722	4194
648	7730	4181
649	7738	4166
650	7746	4152
651	7753	4138
652	7760	4124
653	7768	4109
654	7776	4095
655	7783	4081
656	7802	4073
657	7827	4068
658	7851	4062
659	7878	4058
660	7890	4046
661	7900	4033
662	7909	4020
663	7917	4006
664	7925	3992
665	7932	3978
666	7957	3972
667	7980	3966
668	8005	3961
669	8028	3954
670	8044	3944
671	8075	3941
